"","Gene","GSE1124.CM","GSE117613.CM","adj.P.Val","logFC"
"362","SMA4",NA,NA,0.0628,0.6673701
"363","SMAP2",NA,NA,0.211,0.441287
"364","SMPDL3A",NA,NA,0.0639,-0.2991945
"365","SNX11",NA,NA,0.502,0.140479
"366","SOCS3",NA,NA,0.0652,0.7628688
"367","SORT1",NA,NA,0.00872,0.757386
"368","SPI1",NA,NA,0.259,0.5754701
"369","SQRDL",NA,NA,0.963,-0.0140111
"370","SRA1",NA,NA,0.145,0.2664785
"371","SRGN",NA,NA,0.00077,1.3706023
"372","SRPK1",NA,NA,0.00171,0.8671404
"373","SSBP2",NA,NA,0.567,0.0815013
"374","SSH2",NA,NA,0.00263,0.9552439
"375","STAB1",NA,NA,0.0219,0.6518962
"376","STEAP4",NA,NA,0.146,0.3315822
"377","STK3",NA,NA,0.0261,0.5602702
"378","STX11",NA,NA,0.769,0.0784469
"379","TAP1",NA,NA,0.0566,0.7209388
"380","TBC1D14",NA,NA,0.0441,0.502879
"381","TDRD9",NA,NA,0.547,0.1523777
"382","TIFA",NA,NA,0.231,0.2635453
"383","TIMP1",NA,NA,0.00163,1.986099
"384","TIPARP",NA,NA,0.0117,0.4695281
"385","TLR2",NA,NA,0.644,0.1017244
"386","TLR4",NA,NA,0.719,0.1140983
"387","TLR5",NA,NA,0.00308,1.4910614
"388","TLR6",NA,NA,0.123,-0.2179317
"389","TLR8",NA,NA,0.428,0.0774607
"390","TNFAIP3",NA,NA,0.123,0.699605
"391","TNFAIP6",2.221274,2.3165262,0.0368,-0.2703691
"392","TNFRSF1B",NA,NA,0.19,0.5703087
"393","TNFSF13B",NA,NA,0.0581,0.8984274
"394","TPI1",NA,NA,0.0984,0.4706337
"395","TPM3",NA,NA,0.274,-0.1816387
"396","TRAFD1",NA,NA,0.0176,0.600211
"397","TRIB1",NA,NA,0.157,0.7927361
"398","TRIM25",NA,NA,0.00195,1.2100408
"399","TSPO",NA,NA,0.00496,0.8569515
"400","TYMP",NA,NA,0.00866,0.83075
"401","TYROBP",NA,NA,0.000849,1.3574589
"402","UBXN2B",NA,NA,0.00164,0.5880661
"403","UGCG",NA,NA,0.0915,0.7124829
"404","USB1",NA,NA,0.00444,0.8917703
"405","USP33",NA,NA,0.000428,-1.043018
"406","VAMP3",NA,NA,0.00129,0.9379451
"407","VAMP5",NA,NA,0.0184,0.9694885
"408","VCAN",NA,NA,0.0266,0.9294466
"409","VIM",NA,NA,0.00189,1.1705118
"410","VNN1",NA,NA,0.00332,2.119981
"411","VNN2",NA,NA,0.0864,0.7292855
"412","VPS9D1",NA,NA,0.13,0.507451
"413","WARS",NA,NA,0.084,0.7676977
"414","YWHAH",NA,NA,0.00781,0.9522126
"415","ZC3H12A",NA,NA,0.0369,0.795466
"416","ZDHHC19",NA,NA,0.00958,1.1105526
"417","ZFP36",NA,NA,0.307,0.4559861
"418","ZNF438",NA,NA,0.0288,0.5179937
"419","ZNF529",NA,NA,0.385,-0.1726696
