Group,CA4,SLC2A3
Condition,1075.089132,10343.89575
Condition,559.2048221,7310.480633
Condition,180.0346834,4034.555226
Condition,500.8992171,4591.549569
Condition,1103.929005,14123.08073
Condition,3002.244544,17300.58663
Condition,144.9315065,3766.425026
Condition,441.9890943,8942.320056
Condition,876.5511774,9366.906072
Condition,261.805977,7548.444225
Condition,975.787259,11443.69307
Condition,1090.543846,7259.221625
Condition,863.9880777,11718.2586
Condition,404.8747871,7335.38697
Condition,872.8631265,8942.320056
Condition,232.0431181,5518.198046
Condition,240.1077149,7493.823045
Condition,453.4246024,13359.18958
Condition,851.1117228,12355.07237
Condition,56.79784528,3012.57289
Condition,114.4963867,4298.747158
Condition,504.1282212,5989.479994
Condition,251.9470863,4786.348352
Condition,58.19719543,2854.475583
Condition,334.2707484,5921.687591
Condition,160.1334031,2376.888667
Condition,216.0295276,2357.541355
Condition,896.5537439,11770.99927
Condition,768.6253265,5428.766702
Condition,1456.238376,13978.60455
Condition,85.66860589,3555.232085
Condition,246.1800132,5578.877093
Condition,964.4331183,11718.2586
Condition,187.4583805,3672.930456
Condition,646.6560802,8722.53789
Condition,685.1100324,10957.39813
Condition,163.0894083,3695.630951
Condition,477.6629371,5161.412479
Condition,210.0088475,3905.974297
Condition,120.8289213,3838.465545
Control,202.6900803,3948.417235
Control,354.4003449,5314.212403
Control,252.1038496,5244.488352
Control,242.8940143,4810.646782
Control,373.0583631,4517.272945
Control,345.0292087,4079.135974
Control,349.0843534,4462.213548
Control,287.606954,2746.272328
Control,274.3153934,4883.976468
Control,296.096876,4026.139556
Control,85.55066761,2729.094176
Control,266.1599466,4943.935981
Control,159.2187786,3404.197722
Control,201.2579412,5175.389503
Control,479.0518062,5610.13324
Control,201.0237974,4162.972122
Control,246.8682797,4505.99578
Control,55.77297086,2432.233682
Control,206.0650288,4670.227465
Control,207.4198355,3758.496373
Control,628.2681272,4834.659898
Control,167.1804797,3628.849155
Control,48.40057005,2502.778351
Control,100.9502376,4106.312903
Control,152.5466067,5518.198046
Control,309.0998327,7683.061743
Control,317.1019585,4399.342827
Control,204.0091177,4528.393931
Control,249.0377599,3872.048281
Control,304.4495807,4494.970863
Control,49.13210579,4569.783947
Control,155.5329015,9053.36811
Control,142.6441138,4549.017694
Control,151.4345548,4106.312903
Control,111.371287,3534.01864
Control,233.7961138,4968.63214
Control,260.8932068,3417.475957
Control,240.7724772,4034.555226
Control,218.1087437,5175.389503
Control,96.67253716,3688.067158
Control,65.02741513,3147.66389
Control,209.6354832,4980.74015
Control,317.1019585,7414.977184
Control,121.1303035,3718.937414
Control,154.57232,3334.329311
Control,109.6976002,3315.200109
Control,278.1738467,4549.017694
Control,67.08876426,2076.724479
Control,86.4203335,2976.951549
Control,249.5076271,4370.118355
Control,96.40850305,2247.615718
Control,121.1662141,2527.736228
Control,50.49317817,2049.371116
Control,92.70369827,2491.569124
Control,141.4461345,2776.756275
Control,403.6565799,3583.764946
Control,311.8489358,3583.764946
Control,244.1207963,3477.961635
Control,386.9576397,5921.687591
Control,417.3576447,3043.297109
Control,270.5247314,3372.636582
Control,153.95636,2695.685279
Control,358.114935,4034.555226
Control,179.5600469,3814.551927
Control,157.1420931,3650.608849
Control,230.126989,3498.28381
Control,210.4409748,3880.678325
Condition,289.6024161,5938.835115
Condition,136.1158675,3688.067158
Condition,559.7077625,5786.197445
Condition,2432.233682,13840.08174
Condition,1197.008651,4932.375195
Condition,1247.628768,8654.260945
Condition,523.8364469,6343.772663
Condition,243.9626152,4052.654539
Condition,590.8226203,5443.633221
Condition,1350.130294,11220.25874
Condition,341.0360595,7654.742996
Condition,600.6855253,7768.093158
Condition,26.31909878,2125.666003
Condition,709.6832111,11388.92272
Condition,614.082561,4704.7678
Condition,664.1991193,3688.067158
Condition,87.47867868,2754.852007
Condition,146.3744199,4932.375195
Condition,548.9343073,4258.619092
Condition,1015.650044,6946.047533
Condition,611.1062855,8319.53322
